"id","name","note","date","registration_close","member_cost","non_member_cost","pay_at_event_cost","location_id","club_name","season_id","multiplier","count_points"
"1","Trailer Party",NULL,"2010-03-27 00:00:00","2010-03-26 12:00:00","0","0","0","1","NORA - ASCC","1","1","0"
"8","ASCC Points Event 2",NULL,"2010-05-08 00:00:00","2010-05-07 00:00:00","30","40","5","1","NORA - ASCC","1","1","1"
"7","ASCC Points Event 1",NULL,"2010-04-18 00:00:00","2010-04-17 20:00:00","30","40","5","1","NORA - ASCC","1","1","1"
"6","Drivers School",NULL,"2010-04-11 00:00:00","2010-04-10 12:00:00","55","65","70","5","NORA - ASCC","1","1","0"
"9","ASCC Points Event 3",NULL,"2010-05-16 00:00:00","2010-05-04 00:00:00","30","40","5","1","NORA - ASCC","1","1","1"
"10","NORA Charity Autocross - Benefitting Make-A-Wish Foundation",NULL,"2010-05-30 00:00:00","2010-05-29 12:00:00","25","25","0","1","NORA - ASCC","1","1","0"
"11","ASCC Points Event 4",NULL,"2010-06-06 00:00:00","2010-06-05 12:00:00","30","40","5","1","NORA - ASCC","1","1","1"
"12","ASCC Points Event 5 (Fathers Day Challenge)",NULL,"2010-06-19 00:00:00","2010-06-18 12:00:00","30","40","0","1","NORA - ASCC","1","1","1"
"13","July 4th Challenge Event - Qualifiers",NULL,"2010-07-04 00:00:00","2010-07-03 12:00:00","30","40","5","5","NORA - ASCC","1","1","0"
"25","July 4th Challenge Event - Finals",NULL,"2010-07-04 00:00:00","2010-07-03 12:00:00","0","0","0","5","NORA - ASCC","1","1","0"
"15","ASCC Points Event 6",NULL,"2010-07-25 00:00:00","2010-07-24 12:00:00","30","40","5","5","NORA - ASCC","1","1","1"
"16","Car Club/SCCA Challenge",NULL,"2010-08-01 00:00:00","2010-07-31 12:00:00","30","30","5","1","NORA - ASCC","1","1","0"
"17","ASCC Points Event 7",NULL,"2010-08-15 00:00:00","2010-08-14 12:00:00","30","40","5","1","NORA - ASCC","1","1","1"
"18","ASCC Points Event 8",NULL,"2010-09-05 00:00:00","2010-09-04 12:00:00","30","40","5","1","NORA - ASCC","1","1","1"
"19","Fall Driver's School","Drivers at the school will receive a $10 discount for Points Event #9. The discount will be given at the points event, or you can pay for both events the day of the drivers school. ","2010-09-11 00:00:00","2010-09-10 12:00:00","40","50","0","6","NORA - ASCC","1","1","0"
"20","ASCC Points Event 10",NULL,"2010-09-19 00:00:00","2010-09-18 12:00:00","30","40","5","6","NORA - ASCC","1","1","1"
"21","ASCC Points Event 11",NULL,"2010-10-16 00:00:00","2010-10-15 12:00:00","30","40","5","6","NORA - ASCC","1","1","1"
"22","ASCC Points Event 12",NULL,"2010-10-17 00:00:00","2010-10-16 12:00:00","30","40","5","6","NORA - ASCC","1","3","1"
"26","ASSC Points Event 9",NULL,"2010-09-12 00:00:00","2010-09-11 12:00:00","30","40","5","6","NORA - ASCC","1","1","1"
"2664","Trailer Party",NULL,"2011-03-26 00:00:00","2011-03-25 12:00:00","0","0","0","8","NORA - ASCC","4","1","0"
"2667","Points Event 1",NULL,"2011-04-03 00:00:00","2011-04-02 12:00:00","30","40","5","6","NORA - ASCC","4","1","1"
"2668","Points Event 2",NULL,"2011-04-17 00:00:00","2011-04-16 12:00:00","30","40","5","6","NORA - ASCC","4","1","1"
"2669","Novice Drivers School","Drivers who come to the Novice school will get a free entry to the Points Event 2, the next day (April 17th) ","2011-04-16 00:00:00","2011-04-15 12:00:00","60","75","5","6","NORA - ASCC","4","1","0"
"2900","Points Event 3",NULL,"2011-05-01 00:00:00","2011-04-30 12:00:00","30","40","5","6","NORA - ASCC","4","1","1"
"2902","Points Event 4",NULL,"2011-05-21 00:00:00","2011-05-20 12:00:00","30","40","5","6","NORA - ASCC","4","1","1"
"2903","Buschur Racing Event 1","Pay at the gate or online.  Flat fee of $35 for this event.","2011-05-28 00:00:00","2011-05-27 12:00:00","35","35","0","9","NORA - ASCC","4","1","0"
"2904","Points Event 5",NULL,"2011-06-05 00:00:00","2011-06-04 12:00:00","30","40","5","6","NORA - ASCC","4","1","1"
"3650","Points Event 6",NULL,"2011-06-18 00:00:00","2011-06-17 12:00:00","30","40","5","6","NORA - ASCC","4","1","1"
"3654","Charity Event",NULL,"2011-07-31 00:00:00","2011-07-30 12:00:00","30","40","0","6","NORA - ASCC","4","1","0"
"3655","PE #7 - Challenge",NULL,"2011-07-04 00:00:00","2011-07-03 12:00:00","30","40","5","6","NORA - ASCC","4","1","1"
"3658","Advanced Drivers School","Drivers who come to the school will get a free entry to the Points Event 8, the next day (June 16th).","2011-07-16 00:00:00","2011-07-15 12:00:00","60","75","5","6","NORA - ASCC","4","1","0"
"3667","Points Event 8","If you register for the drivers school, on July 16th, you get a free registration for this event. ","2011-07-17 00:00:00","2011-07-16 12:00:00","30","40","5","6","NORA - ASCC","4","1","1"
"11938","Points Event 9 Club Challenge","For the club challenge, we will mark down what club you're racing for at the registration desk. ","2011-08-07 00:00:00","2011-08-06 12:00:00","30","40","5","6","NORA - ASCC","4","1","1"
"11939","Buschur Racing Event 2",NULL,"2011-08-20 00:00:00","2011-08-19 12:00:00","35","35","0","9","NORA - ASCC","4","1","0"
"11940","Challenge Finals",NULL,"2011-07-04 00:00:00","2011-07-03 12:00:00","0","0","0","6","NORA - ASCC","4","1","0"
"11941","Points Event 10",NULL,"2011-08-21 00:00:00","2011-08-20 12:00:00","30","40","5","6","NORA - ASCC","4","1","1"
"11942","Points Event 11",NULL,"2011-09-11 00:00:00","2011-09-10 12:00:00","30","40","5","6","NORA - ASCC","4","1","1"
"11943","Points Event 12",NULL,"2011-09-18 00:00:00","2011-09-17 12:00:00","30","40","5","6","NORA - ASCC","4","1","1"
"11944","Points Event 13",NULL,"2011-10-02 00:00:00","2011-10-01 12:00:00","30","40","5","6","NORA - ASCC","4","1","1"
"11945","Points Event 14",NULL,"2011-10-16 00:00:00","2011-10-15 12:00:00","30","40","5","6","NORA - ASCC","4","1","1"
"11946","Buschur Auto-X 2",NULL,"2011-08-20 00:00:00","2011-08-19 12:00:00","0","0","0",NULL,"Buschur","5","1","0"
"11948","Points Event 1",NULL,"2012-04-01 00:00:00","2012-03-31 12:00:00","30","40","5","6","NORA - ASCC","6","1","0"
"11949","Novice Drivers School",NULL,"2012-04-14 00:00:00","2012-04-13 12:00:00","60","75","0","6","NORA - ASCC","6","1","0"
"11950","Points Event 2",NULL,"2012-04-15 00:00:00","2012-04-14 12:00:00","30","40","5","6","NORA - ASCC","6","1","1"
"11951","Points Event 3",NULL,"2012-05-06 00:00:00","2012-05-05 12:00:00","30","40","5","6","NORA - ASCC","6","1","1"
"11952","Points event 4",NULL,"2012-05-20 00:00:00","2012-05-19 12:00:00","30","40","5","6","NORA - ASCC","6","1","1"
"11953","Points Event 5",NULL,"2012-06-03 00:00:00","2012-06-02 12:00:00","30","40","5","6","NORA - ASCC","6","1","1"
"11954","Points Event 6",NULL,"2012-06-16 00:00:00","2012-06-15 12:00:00","30","40","5","6","NORA - ASCC","6","1","1"
"11955","Points Event 7",NULL,"2012-07-01 00:00:00","2012-06-30 12:00:00","30","40","5","6","NORA - ASCC","6","1","1"
"11956","Points Event 8",NULL,"2012-07-15 00:00:00","2012-07-14 12:00:00","30","40","5","6","NORA - ASCC","6","1","1"
"11957","Points Event 9",NULL,"2012-08-05 00:00:00","2012-08-04 12:00:00","30","40","5","6","NORA - ASCC","6","1","1"
"11958","Points Event 10",NULL,"2012-08-19 00:00:00","2012-08-18 12:00:00","30","40","5","6","NORA - ASCC","6","1","1"
"11959","Points Event 11",NULL,"2012-09-02 00:00:00","2012-09-01 12:00:00","30","40","5","6","NORA - ASCC","6","1","1"
"11960","Points Event 12",NULL,"2012-09-16 00:00:00","2012-09-15 12:00:00","30","40","5","6","NORA - ASCC","6","1","1"
"11961","Points Event 13",NULL,"2012-10-07 00:00:00","2012-10-06 12:00:00","30","40","5","6","NORA - ASCC","6","1","1"
"11962","Points Event 14",NULL,"2012-10-21 00:00:00","2012-10-20 12:00:00","30","40","5","6","NORA - ASCC","6","1","1"